"","year","age","sex","maritl","race","education","region","jobclass","health","health_ins","wage"
"869",2005,56," Male"," Married"," Asian"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",81.9853178344996
"870",2003,47," Male"," Married"," Asian"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",176.989650489877
"871",2007,39," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",118.886080351034
"872",2005,38," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",121.262745732618
"873",2009,48," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",94.0727147457005
"874",2005,44," Male"," Married"," Black"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",99.6894636984864
"875",2003,42," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," No",123.908567597957
"876",2009,55," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",118.884359339886
"877",2006,61," Male"," Never Married"," White"," Advanced Degree"," Middle Atlantic"," Industrial"," >=Very Good"," No",82.6796372966372
"878",2006,39," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",81.2832532842527
"879",2005,30," Male"," Married"," Black"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," No",104.921506533664
"880",2009,49," Male"," Divorced"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",99.6894636984864
"881",2006,33," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",136.15771083723
"882",2006,31," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",81.2832532842527
"883",2005,35," Male"," Never Married"," Asian"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",68.5086896572248
"884",2003,55," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",81.2832532842527
"885",2008,36," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",114.475713290347
"886",2003,37," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",118.019753340006
"887",2006,33," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",99.6894636984864
"888",2006,48," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",118.884359339886
"889",2004,47," Male"," Married"," Asian"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",118.884359339886
"890",2003,60," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," <=Good"," Yes",123.089699847943
"891",2004,28," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Information"," <=Good"," Yes",109.833985642199
"892",2005,28," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",102.870246933215
"893",2005,48," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",163.515863976238
"894",2009,29," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," No",117.146816914805
"895",2004,40," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",92.3000614282589
"896",2009,32," Male"," Never Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",100.013486924706
"897",2004,33," Male"," Divorced"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",55.0697284222779
"898",2003,40," Male"," Divorced"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",101.82435207568
"899",2004,42," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",148.413159102577
"900",2003,36," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",115.375038556391
"901",2004,39," Male"," Married"," Black"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",73.7757432746946
"902",2009,44," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",267.901086855275
"903",2009,43," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",129.453644576625
"904",2008,44," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",96.3706528322308
"905",2006,29," Male"," Married"," Asian"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",87.9810327856054
"906",2007,49," Male"," Married"," Black"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",104.921506533664
"907",2007,47," Male"," Married"," Black"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",130.982177377461
"908",2004,46," Male"," Married"," Asian"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",190.547678564741
"909",2006,41," Male"," Divorced"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",118.019753340006
"910",2008,52," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," No",79.8549003093467
"911",2003,43," Male"," Divorced"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",72.4793162971252
"912",2004,38," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",148.413159102577
"913",2003,42," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",74.4446382014083
"914",2005,56," Male"," Married"," Black"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",118.884359339886
"915",2003,39," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",128.680488220624
"916",2005,29," Male"," Married"," Black"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",87.9810327856054
"917",2009,33," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",267.901086855275
"918",2004,33," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",104.921506533664
"919",2004,41," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",92.8958447894966
"920",2004,44," Male"," Never Married"," Black"," < HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",70.4760196469445
"921",2005,45," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",200.543262324662
"922",2004,58," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",102.870246933215
"923",2005,29," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",102.870246933215
"924",2004,42," Male"," Divorced"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",65.1108537153447
"925",2008,68," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",109.833985642199
"926",2005,47," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," <=Good"," Yes",127.115743812184
"927",2005,30," Male"," Married"," Black"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," No",94.0727147457005
"928",2005,39," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",67.8625234113681
"929",2008,42," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",125.525498433836
"930",2006,49," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",165.208773767255
"931",2009,36," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",81.2832532842527
"932",2003,44," Male"," Married"," Asian"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",112.6488963421
"933",2009,54," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",76.8936025176112
"934",2003,42," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",75.0431540173515
"935",2003,39," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",128.680488220624
"936",2008,30," Male"," Married"," Asian"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",59.0970640815891
"937",2004,33," Male"," Never Married"," Black"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",63.7733911962488
"938",2003,28," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",84.0459576539924
"939",2003,38," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",93.9371815810521
"940",2005,30," Male"," Married"," Other"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",82.6796372966372
"941",2008,25," Male"," Never Married"," White"," Advanced Degree"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",118.884359339886
"942",2007,52," Male"," Married"," Black"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",81.2832532842527
"943",2007,26," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",66.9616443217359
"944",2009,54," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",166.324941233877
"945",2005,62," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," No",99.6894636984864
"946",2009,57," Male"," Married"," Asian"," Advanced Degree"," Middle Atlantic"," Information"," <=Good"," Yes",141.77517233318
"947",2003,32," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",143.134940811134
"948",2003,60," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",35.0334213214995
"949",2004,40," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",109.833985642199
"950",2005,49," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",111.014405508798
"951",2006,54," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",132.487821126123
"952",2009,48," Male"," Never Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",148.413159102577
"953",2009,35," Male"," Never Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",73.7757432746946
"954",2009,46," Male"," Divorced"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",143.699710133813
"955",2007,42," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",99.6894636984864
"956",2004,58," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",272.294783220064
"957",2003,30," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",200.543262324662
"958",2008,27," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",85.3865890236244
"959",2008,55," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",109.833985642199
"960",2004,50," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",61.0524210501246
"961",2006,55," Male"," Divorced"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",118.884359339886
"962",2006,40," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",145.805163374625
"963",2005,32," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," No",112.6488963421
"964",2006,27," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",106.921814091211
"965",2007,49," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",106.921814091211
"966",2007,50," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," <=Good"," Yes",127.115743812184
"967",2006,50," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",87.9810327856054
"968",2008,44," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",144.47808766541
"969",2007,57," Male"," Married"," Asian"," Advanced Degree"," Middle Atlantic"," Information"," <=Good"," Yes",160.409701962289
"970",2008,72," Male"," Married"," Black"," Advanced Degree"," Middle Atlantic"," Industrial"," <=Good"," No",87.9810327856054
"971",2006,23," Male"," Never Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",65.1108537153447
"972",2007,31," Male"," Never Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",176.989650489877
"973",2008,36," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",54.5981500331442
"974",2009,63," Male"," Married"," Black"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",109.833985642199
"975",2006,48," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",81.698421724729
"976",2005,46," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",114.475713290347
"977",2003,55," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",142.634472767972
"978",2007,44," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",160.642475408263
"979",2006,44," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",94.0727147457005
"980",2004,32," Male"," Married"," Other"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",54.5981500331442
"981",2003,60," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",73.7757432746946
"982",2004,42," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",160.642475408263
"983",2009,48," Male"," Married"," Black"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",148.413159102577
"984",2008,36," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",87.9823064294987
"985",2009,31," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",101.82435207568
"986",2006,54," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",111.720849360989
"987",2007,29," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",106.921814091211
"988",2003,46," Male"," Divorced"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," No",126.323880709786
"989",2003,35," Male"," Divorced"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",109.833985642199
"990",2009,50," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",92.8958447894966
"991",2005,25," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",54.5981500331442
"992",2005,33," Male"," Never Married"," White"," Some College"," Middle Atlantic"," Information"," <=Good"," No",96.3706528322308
"993",2008,34," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",114.475713290347
"994",2006,51," Male"," Married"," Black"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",94.0727147457005
"995",2004,33," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",95.2307125669819
"996",2007,59," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",139.00340805947
"997",2006,62," Male"," Separated"," Black"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",81.2832532842527
"998",2005,28," Male"," Separated"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",94.0727147457005
"999",2008,40," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," <=Good"," Yes",87.9810327856054
"1000",2003,52," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",138.299126920883
"1001",2007,29," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",89.4924795180001
"1002",2007,34," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",92.8958447894966
"1003",2004,25," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",54.5981500331442
"1004",2005,66," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",94.0727147457005
"1005",2005,43," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",68.7480877337669
"1006",2007,45," Male"," Married"," Black"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",92.8958447894966
"1007",2006,35," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",114.475713290347
"1008",2005,43," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",109.833985642199
"1009",2007,49," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",109.833985642199
"1010",2004,60," Male"," Never Married"," Black"," < HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",77.0452008528242
"1011",2003,46," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",94.0727147457005
"1012",2009,55," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",101.82435207568
"1013",2006,32," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",118.884359339886
"1014",2007,53," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",133.232350826567
"1015",2009,57," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",157.10350432345
"1016",2007,51," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," <=Good"," Yes",281.745970551857
"1017",2004,59," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",182.020620963512
"1018",2006,45," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," <=Good"," Yes",119.09923477134
"1019",2006,56," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",71.6867436659172
"1020",2005,30," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",85.3839403789827
"1021",2006,21," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",72.1504556815713
"1022",2003,60," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",138.299126920883
"1023",2007,60," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",101.82435207568
"1024",2007,48," Male"," Divorced"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",109.833985642199
"1025",2003,39," Male"," Divorced"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," No",87.9810327856054
"1026",2009,32," Male"," Never Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",115.375038556391
"1027",2007,51," Male"," Married"," Black"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",191.573683548412
"1028",2006,47," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",86.6951548289402
"1029",2007,44," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",75.8522371953675
"1030",2008,46," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",166.324941233877
"1031",2004,28," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",56.9055391446732
"1032",2003,24," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," No",99.6894636984864
"1033",2006,37," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",92.8958447894966
"1034",2006,31," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",99.6894636984864
"1035",2004,72," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",92.8958447894966
"1036",2008,50," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," <=Good"," Yes",101.82435207568
"1037",2007,36," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",145.143601176911
"1038",2006,27," Male"," Never Married"," Black"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",76.8936025176112
"1039",2009,27," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",90.4819133566401
"1040",2004,41," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",127.115743812184
"1041",2008,20," Male"," Never Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," No",82.6796372966372
"1042",2008,49," Male"," Married"," Black"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",99.6894636984864
"1043",2007,25," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",64.1592325660882
"1044",2006,41," Male"," Married"," Asian"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",89.4924795180001
"1045",2009,53," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",87.9810327856054
"1046",2009,45," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," <=Good"," No",127.115743812184
"1047",2003,32," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",66.9616443217359
"1048",2005,47," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",148.413159102577
"1049",2003,26," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",123.089699847943
"1050",2009,31," Male"," Married"," Black"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",133.232350826567
"1051",2007,32," Male"," Married"," Asian"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",118.884359339886
"1052",2006,50," Male"," Divorced"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",120.166119635421
"1053",2007,46," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",115.375038556391
"1054",2006,47," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",112.6488963421
"1055",2005,55," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," <=Good"," Yes",118.884359339886
"1056",2005,49," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",148.413159102577
"1057",2004,25," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",61.1875264339915
"1058",2008,60," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",95.6888119067371
"1059",2008,62," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",89.2428846644714
"1060",2003,63," Male"," Separated"," Black"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",127.901232979118
"1061",2004,31," Male"," Never Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",128.680488220624
"1062",2006,29," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",109.833985642199
"1063",2008,51," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",114.475713290347
"1064",2007,28," Male"," Married"," Asian"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",76.1296996370986
"1065",2005,36," Male"," Never Married"," White"," Some College"," Middle Atlantic"," Information"," <=Good"," Yes",123.089699847943
"1066",2007,28," Male"," Never Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",99.6894636984864
"1067",2004,38," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",102.870246933215
"1068",2008,35," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",96.3706528322308
"1069",2005,46," Male"," Divorced"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",117.146816914805
"1070",2007,37," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," No",90.4819133566401
"1071",2005,41," Male"," Divorced"," Black"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",104.921506533664
"1072",2006,59," Male"," Married"," Black"," Some College"," Middle Atlantic"," Industrial"," <=Good"," No",73.7757432746946
"1073",2006,51," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," <=Good"," No",107.903923866876
"1074",2006,26," Male"," Never Married"," Black"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",99.6894636984864
"1075",2003,34," Male"," Married"," Black"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",60.1541246622441
"1076",2004,32," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",123.089699847943
"1077",2007,23," Male"," Never Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",81.2832532842527
"1078",2004,50," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",143.134940811134
"1079",2009,25," Male"," Never Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",69.0981838087226
"1080",2004,43," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",78.9816745162994
"1081",2009,36," Male"," Married"," Black"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",128.680488220624
"1082",2006,50," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," No",54.5981500331442
"1083",2006,34," Male"," Separated"," Black"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",134.705375118879
"1084",2005,34," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",104.921506533664
"1085",2005,55," Male"," Married"," Asian"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",277.601417511009
"1086",2003,39," Male"," Married"," Black"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",78.214575693165
"1087",2004,40," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",82.6796372966372
"1088",2005,32," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," <=Good"," Yes",117.146816914805
"1089",2006,63," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",118.884359339886
"1090",2004,38," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",109.833985642199
"1091",2008,67," Male"," Married"," Asian"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",59.0970640815891
"1092",2005,39," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",116.265324062503
"1093",2003,31," Male"," Married"," Asian"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",61.1875264339915
"1094",2006,41," Male"," Never Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",114.475713290347
"1095",2003,47," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",78.3924668009837
"1096",2009,61," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",122.263673892802
"1097",2005,61," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",148.413159102577
"1098",2008,21," Male"," Married"," Other"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",54.5981500331442
